competition,season,date,home_team,away_team,home_goals,away_goals,neutral_site,stage,round,score_basis,decided_by_penalties,winner,notes
WorldCupQualifiers,2026,2024-03-21,South Korea,Thailand,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Seoul, South Korea"
WorldCupQualifiers,2026,2024-03-21,Taiwan,Kyrgyzstan,0,2,False,Qualification,Qualification,full_time,False,Kyrgyzstan,"Venue: Taipei, Taiwan"
WorldCupQualifiers,2026,2024-03-21,United Arab Emirates,Yemen,2,1,False,Qualification,Qualification,full_time,False,United Arab Emirates,"Venue: Abu Dhabi, United Arab Emirates"
WorldCupQualifiers,2026,2024-03-22,Anguilla,Turks and Caicos Islands,0,0,False,Qualification,Qualification,full_time,False,,"Venue: The Valley, Anguilla"
WorldCupQualifiers,2026,2024-03-22,United States Virgin Islands,British Virgin Islands,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Saint Croix, United States Virgin Islands"
WorldCupQualifiers,2026,2024-03-26,Australia,Lebanon,5,0,False,Qualification,Qualification,full_time,False,Australia,"Venue: Canberra, Australia"
WorldCupQualifiers,2026,2024-03-26,Bahrain,Nepal,3,0,False,Qualification,Qualification,full_time,False,Bahrain,"Venue: Riffa, Bahrain"
WorldCupQualifiers,2026,2024-03-26,Bangladesh,Palestine,0,1,False,Qualification,Qualification,full_time,False,Palestine,"Venue: Dhaka, Bangladesh"
WorldCupQualifiers,2026,2024-03-26,British Virgin Islands,United States Virgin Islands,0,0,False,Qualification,Qualification,after_extra_time,True,British Virgin Islands,"Venue: Road Town, British Virgin Islands; British Virgin Islands wins on penalties"
WorldCupQualifiers,2026,2024-03-26,China PR,Singapore,4,1,False,Qualification,Qualification,full_time,False,China PR,"Venue: Tianjin, China PR"
WorldCupQualifiers,2026,2024-03-26,India,Afghanistan,1,2,False,Qualification,Qualification,full_time,False,Afghanistan,"Venue: Guwahati, India"
WorldCupQualifiers,2026,2024-03-26,Jordan,Pakistan,7,0,False,Qualification,Qualification,full_time,False,Jordan,"Venue: Amman, Jordan"
WorldCupQualifiers,2026,2024-03-26,Kuwait,Qatar,1,2,False,Qualification,Qualification,full_time,False,Qatar,"Venue: Al Farwaniyah, Kuwait"
WorldCupQualifiers,2026,2024-03-26,Kyrgyzstan,Taiwan,5,1,False,Qualification,Qualification,full_time,False,Kyrgyzstan,"Venue: Bishkek, Kyrgyzstan"
WorldCupQualifiers,2026,2024-03-26,Malaysia,Oman,0,2,False,Qualification,Qualification,full_time,False,Oman,"Venue: Kuala Lumpur, Malaysia"
WorldCupQualifiers,2026,2024-03-26,Philippines,Iraq,0,5,False,Qualification,Qualification,full_time,False,Iraq,"Venue: Manila, Philippines"
WorldCupQualifiers,2026,2024-03-26,Syria,Myanmar,7,0,True,Qualification,Qualification,full_time,False,Syria,"Venue: Dammam, Saudi Arabia"
WorldCupQualifiers,2026,2024-03-26,Tajikistan,Saudi Arabia,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Dushanbe, Tajikistan"
WorldCupQualifiers,2026,2024-03-26,Thailand,South Korea,0,3,False,Qualification,Qualification,full_time,False,South Korea,"Venue: Bangkok, Thailand"
WorldCupQualifiers,2026,2024-03-26,Turkmenistan,Iran,0,1,False,Qualification,Qualification,full_time,False,Iran,"Venue: Ashgabat, Turkmenistan"
WorldCupQualifiers,2026,2024-03-26,Turks and Caicos Islands,Anguilla,1,1,False,Qualification,Qualification,after_extra_time,True,Anguilla,"Venue: Providenciales, Turks and Caicos Islands; Anguilla wins on penalties"
WorldCupQualifiers,2026,2024-03-26,Uzbekistan,Hong Kong,3,0,False,Qualification,Qualification,full_time,False,Uzbekistan,"Venue: Tashkent, Uzbekistan"
WorldCupQualifiers,2026,2024-03-26,Vietnam,Indonesia,0,3,False,Qualification,Qualification,full_time,False,Indonesia,"Venue: Hanoi, Vietnam"
WorldCupQualifiers,2026,2024-03-26,Yemen,United Arab Emirates,0,3,True,Qualification,Qualification,full_time,False,United Arab Emirates,"Venue: Khobar, Saudi Arabia"
WorldCupQualifiers,2026,2024-06-05,Antigua and Barbuda,Bermuda,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Piggotts, Antigua and Barbuda"
